Step,A* + UNet + IL,Weighted A* + UNet + IL,A* + Unet,Weighted A* + Unet,A* + CNN + IL,A* + CNN,Weighted A* + CNN +IL,Weighted A* + CNN
88,58.76902771,69.55857849,74.32226563,76.90271759,62.09320831,75.40961456,69.89382935,76.32040405
89,60.05107117,68.36404419,74.30240631,76.54180908,68.84599304,73.10575867,68.50267029,73.95441437
90,60.07756042,67.87973022,74.36775208,77.44013214,62.88947296,72.74378967,68.50746918,74.07891846
92,64.06711578,67.25082397,68.71531677,67.99058533,65.74958801,66.82608795,65.06069946,67.20407867
93,64.91712189,67.08364868,67.99338531,66.37789917,64.23714447,67.38272858,69.74536896,66.33253479
94,66.50662994,67.03081512,66.70858765,67.24871063,66.00714111,68.43847656,65.70624542,68.47806549
95,65.6442337,67.68908691,66.40410614,66.91539001,63.38014221,70.33413696,68.68819427,69.10961914
96,68.46851349,66.55510712,67.65174866,66.17711639,65.96894073,67.71279144,66.26108551,67.29820251
100,41.3208847,68.02468109,78.69261932,99.72412109,66.9847641,80.04039764,74.4058609,86.39871979
101,43.53139877,68.78398895,85.48439026,82.91350555,68.58633423,81.32762909,72.32732391,86.68507385
102,45.95081329,64.54649353,87.94052124,87.14095306,66.59574127,80.24863434,69.73002625,81.49330902
103,46.47315979,69.76695251,85.14849091,89.90397644,65.49009705,85.38217926,68.89016724,81.03913879
104,50.92234421,69.08972168,87.70593262,88.96951294,62.84186172,73.12414551,74.53756714,91.13920593
106,69.59567261,75.7546463,76.48457336,75.22422028,72.76002502,80.64560699,75.68587494,78.13829803
107,70.54050446,72.71174622,77.87969971,76.36589813,71.0405426,83.09870148,77.0427475,75.3474884
108,68.12364197,75.71380615,76.34383392,77.70211029,73.78357697,76.56295776,74.57414246,76.80175781
109,72.69721985,73.5450592,79.45376587,76.06981659,70.50642395,77.88825226,75.33190918,79.26387024
110,68.17113495,78.31013489,76.07049561,77.10675049,71.03179932,77.57020569,78.85755157,75.41597748
112,60.26485443,75.35952759,73.78871155,76.63716888,71.43331909,77.23149872,73.32762146,77.50141907
113,63.29872894,76.94783783,76.0422821,74.06040192,75.0404892,76.28826904,75.68146515,75.72039032
114,58.66348267,75.29409027,71.13587952,74.98143005,74.21912384,75.85604095,78.23149872,78.70194244
115,59.97340393,74.13314056,77.45476532,78.39067841,70.1098175,74.0976181,78.34535217,78.30594635
116,62.88087082,72.22065735,76.58934784,76.98322296,72.12296295,74.16188812,76.24507141,74.51926422
118,66.58477783,71.74723053,74.94561005,75.26496124,69.19685364,80.04798126,74.79589081,75.24816132
119,69.68876648,73.79157257,73.43854523,76.33934021,71.93112183,74.36553192,74.82428741,78.75063324
120,74.10794067,70.81576538,76.99525452,75.06195831,71.40856934,79.75333405,73.9627533,79.45801544
121,70.00521088,72.88391113,74.63612366,77.15235901,70.56757355,79.19421387,70.33511353,75.14025879
122,69.25354004,71.54658508,73.80304718,74.4438858,70.34044647,78.37522125,74.23130035,77.6836319
124,71.10794067,73.02971649,74.71269226,73.59629822,72.58790588,72.31860352,70.12994385,74.29930115
125,68.98264313,70.89134216,75.53513336,72.84572601,75.10194397,72.68708038,74.46790314,74.27257538
126,69.84191132,72.29676819,74.67524719,74.53868103,70.81613922,74.18128204,71.18766785,76.47362518
127,68.929245,71.87519073,74.91823578,72.18809509,70.14131927,71.93694305,74.04105377,76.02110291
128,68.61228943,70.35713959,73.34249115,73.72341919,71.77511597,72.38847351,71.89292908,75.60900116
130,45.08992004,56.94254303,69.7622757,72.62296295,55.01002121,70.31838989,67.75143433,71.08269501
131,47.02768707,59.444664,73.85296631,75.01255035,54.46998215,69.37836456,63.77830505,73.17708588
132,45.17985153,55.99954987,73.7220459,74.68845367,56.60321808,68.78176117,62.25231171,71.64860535
133,49.61702347,58.30694962,70.23371124,70.82247925,59.42110825,68.76722717,63.26024628,70.57954407
134,50.57211685,59.86485672,73.01177979,75.20592499,55.80771255,69.87442017,66.64723969,72.29705048
136,52.40141678,68.14701843,77.09196472,73.01626587,58.76120758,70.63071442,68.80567169,76.71923065
137,57.81809235,68.15621948,76.29189301,76.89060974,60.76190567,72.81238556,70.71083069,77.27536774
138,54.4634285,68.79013824,76.51701355,78.98217773,61.81048584,73.52903748,72.27550507,76.63803101
139,56.15102005,65.26835632,78.37271118,75.65061951,60.58112335,74.22201538,69.31384277,73.81785583
140,58.27009964,67.32480621,72.6027832,76.37521362,63.00231934,73.88122559,73.96984863,72.43289948
142,67.32656097,67.24806976,70.78599548,68.92172241,65.78580475,68.05686951,68.35094452,67.27503204
143,67.1805191,65.50840759,65.97567749,67.03108215,65.29415131,67.54149628,65.35449219,66.33019257
144,67.50343323,66.09077454,67.64739227,66.27392578,66.91749573,67.29612732,66.50236511,67.34369659
145,66.77689362,67.4192276,67.95063019,67.7778244,65.8171463,68.66879272,69.34247589,66.15655518
146,68.45332336,68.37387085,66.021698,67.25726318,66.13770294,68.12670135,68.9311142,67.01303101
150,45.72319794,67.90828705,91.10684204,86.16017151,71.73714447,79.74278259,77.6762619,81.53194427
151,43.3265152,67.16648102,83.77090454,81.1492691,67.63079834,76.93445587,72.19514465,81.04937744
152,41.78249741,68.81977844,87.67601013,85.22940826,62.8910141,76.86597443,65.94236755,88.44364166
153,45.60370636,65.00730896,86.61048889,94.00983429,59.24441528,79.66003418,72.83766174,89.26274872
154,44.76072693,71.49320984,78.37904358,87.25741577,67.68844604,84.9540329,65.93320465,86.6021347
156,69.15581512,74.62586975,77.56544495,75.75805664,74.24346161,77.60192871,75.09340668,75.83527374
157,69.02072144,74.93069458,76.35158539,80.5488205,74.3400116,77.84611511,77.49672699,78.48745728
158,72.73869324,75.75491333,80.64203644,77.32060242,74.02360535,78.90052795,75.3403244,77.67677307
159,69.03885651,72.39636993,75.64324188,77.47140503,71.29240417,77.58866882,76.7753067,79.20869446
160,70.18845367,74.75070953,79.2474823,80.56751251,71.79357147,80.14731598,74.43598938,76.55337524
162,64.55132294,74.47827148,76.67074585,77.85697937,72.161026,76.60844421,77.03311157,74.74560547
163,62.3886795,74.54103851,77.66363525,77.40871429,68.69972229,76.31745911,76.49638367,79.69856262
164,64.28282166,73.01119995,76.88918304,75.0852356,68.46463013,74.54260254,79.51668549,77.25208282
165,63.05208206,75.58829498,73.66539001,79.04316711,68.81815338,73.28449249,77.68959045,79.45304108
166,62.98709488,71.77853394,77.18379974,75.30142212,71.67095184,76.20302582,77.45156097,75.27662659
168,66.04410553,72.00098419,76.86779785,75.77891541,71.40079498,74.86432648,72.2668457,76.43215179
169,66.02967834,70.10135651,76.57015991,81.70227051,71.0111618,76.95644379,73.25053406,76.7397995
170,65.82278442,72.76778412,76.13463593,75.09912109,71.9072113,79.65109253,75.35139465,76.81819153
171,69.09523773,72.24406433,77.9200058,74.3932724,72.01321411,74.88137817,72.37786102,74.13162994
172,67.59762573,70.8338623,76.99744415,78.4246521,68.77178192,75.67517853,73.57282257,79.68590546
174,69.30119324,71.5134201,73.56160736,74.54579163,71.45608521,75.63165283,71.88913727,75.21811676
175,62.21272278,72.66210938,74.81230164,75.98719788,72.43283844,73.29915619,74.00028992,76.31705475
176,65.76852417,70.97602081,74.2975769,73.27527618,72.37460327,74.65332794,73.72109222,75.4947052
177,66.68593597,72.17721558,76.64803314,74.94247437,73.75137329,72.59301758,71.03141022,74.59012604
178,66.23052979,73.74932098,73.80332947,75.80006409,73.9178009,75.1000824,75.80729675,74.55052948
180,48.94515991,55.97977448,73.12973022,75.69081879,53.96123886,70.08746338,60.95394516,73.24456024
181,44.84585571,57.10052872,73.07653046,74.3855896,55.84773254,68.38249969,66.21922302,72.63581848
182,47.7041893,56.83585739,70.07142639,77.8117218,54.03027725,71.3229599,70.96144867,73.10431671
183,45.82787323,62.44790649,71.07855225,74.40927887,58.4997139,69.05698395,64.42343903,76.19270325
184,43.3702774,58.98716736,74.91479492,79.68043518,54.45959473,70.44773102,70.29403687,72.22211456
186,57.07305908,68.23019409,79.17414856,74.2385025,67.88552856,68.40863037,71.63301849,70.78048706
187,54.78729248,68.07072449,76.6775589,74.55770111,66.75437927,73.69857788,71.54644775,68.51799011
188,57.58065033,65.67973328,72.85717773,73.5478363,64.97399902,72.61659241,73.4359436,74.60501099
189,56.00950623,72.03408051,76.19097137,77.67633057,67.48030853,73.3754425,73.25089264,76.56521606
190,56.3528595,64.75119019,72.59765625,76.16255188,66.22561646,75.64866638,65.92299652,72.21881104
192,69.33315277,66.028862,70.55234528,67.86174011,69.62065887,67.41239929,66.50267029,66.26734161
193,68.29969788,67.16451263,67.13990784,67.26283264,67.51068878,69.65782928,68.71007538,67.24407196
194,67.8562088,66.33728027,70.59928131,65.49727631,66.00344086,66.13523102,67.63605499,65.3892746
195,68.31861115,65.84889221,69.10952759,64.89494324,66.85245514,66.76136017,66.81163788,68.49082184
196,67.32427979,65.49311829,68.40705872,68.31973267,65.34171295,65.46090698,64.87815857,67.48735046
200,42.28573608,67.5308075,88.24866486,85.54795074,68.92530823,79.04349518,75.83692169,88.17946625
