Step,A* + UNet + IL,Weighted A* + UNet + IL,A* + Unet,Weighted A* + Unet,A* + CNN + IL,A* + CNN,Weighted A* + CNN +IL,Weighted A* + CNN
861,65.49411321,95.55788612,99.79090381,110.1874458,102.8879769,97.39015746,131.7882638,128.4710428
867,92.27163911,107.8014097,109.4461761,102.8040246,102.0487008,105.1156271,138.8723505,142.1061733
873,95.88739824,102.3915958,105.5437112,93.61788362,93.90460181,115.420226,129.328477,133.0421991
879,102.2683673,98.92479908,108.4164479,97.2988224,95.03310752,103.2824216,135.8552051,139.9708217
885,69.06412983,93.38766575,98.62413836,134.3955204,88.38104868,107.6069181,132.8639903,151.9330406
891,70.30050778,93.53404438,122.7327158,132.3227367,102.7238145,95.45008194,135.3842056,143.3840736
897,76.29025888,88.03409004,106.6002717,104.3093565,107.6515837,98.13569701,123.081885,138.599196
898,95.60719633,117.7279396,99.06183958,92.86752868,95.60296845,107.2785828,126.3975866,134.9974174
905,73.837358,114.8091578,102.2181089,93.2834146,101.2310612,107.842407,129.9846857,138.5817281
911,78.97392893,106.4248612,110.314832,94.97129405,94.36255932,105.2629119,135.7760994,143.3759319
917,69.75991106,134.5555172,105.3900971,108.6971543,97.44062448,97.97469807,134.4720309,145.3233073
923,93.72034717,91.17096853,102.1602726,127.2868892,95.35897017,106.660183,140.3404374,136.0014352
929,72.27029133,91.20679069,108.1141775,105.895425,104.7168701,105.5238531,125.967432,138.6839387
935,70.22194815,89.49119067,91.78291976,94.95879567,97.97995877,100.9630764,129.9025472,132.4338686
941,74.84274387,97.06553221,104.8097802,137.1364017,92.36077738,100.4942634,130.2737436,140.694145
947,69.94397879,93.45947266,101.4720745,108.5150062,102.8754504,101.4996712,144.6246063,127.2922022
948,76.83438873,91.35313773,105.6942041,133.0797046,84.49706888,104.1188164,133.3139219,145.0824594
955,80.84118891,96.03902268,107.0060239,100.7172908,95.25820971,106.5140224,124.5936835,135.0711497
961,92.55946159,105.483398,111.3019481,140.8560894,99.73149014,113.2272295,133.2270713,130.6236767
967,71.28707075,100.9018084,101.645436,101.9265655,106.0174356,98.7691462,138.2508382,128.8253385
973,95.78108168,96.30512381,108.7086561,108.0327505,101.4581521,94.1807642,148.4191294,135.4109519
979,67.14326048,99.09883547,101.6197736,106.1198404,95.25555086,99.82204604,139.672755,140.8715242
985,71.51923442,91.3181417,104.3018525,96.87496305,99.00726986,109.4830111,128.8124948,144.1819198
991,71.31361413,100.6204693,116.2359734,96.44136798,95.60045028,100.1580154,124.2556788,128.8395755
997,99.98080492,87.67821336,100.8305444,112.0661891,106.3160551,102.0545574,123.8496714,135.1580564
998,95.03188467,99.14995718,100.8954422,114.9195112,95.83871078,101.6053333,125.893198,134.0101489
1005,69.81932545,98.11540413,107.4656031,104.1666399,99.1190207,103.3553784,126.5145211,140.761873
1011,69.03250647,89.91183805,99.72691345,104.9965944,102.8192205,99.67629063,130.2164819,140.2750089
1017,71.07071733,93.28335357,111.1827638,95.87118161,100.2463799,98.75690913,126.9353321,134.5423205
1023,70.8365016,99.52436137,104.1546648,96.15817046,107.9049518,103.8719685,126.3161652,135.1257972
1029,89.50708294,90.59155416,93.46643329,94.63441658,98.17405367,102.6073927,121.8141721,125.905187
1035,104.5443668,94.5595901,100.7284055,90.59046924,100.9088917,100.5943336,137.7422123,132.9512689
1041,68.25985932,93.37307644,101.775619,102.4472215,95.21980381,116.5091146,130.6635463,122.4881198
1047,63.27202964,128.0155228,105.8819153,132.5673265,89.79700232,138.668083,124.9085925,133.8200992
1048,76.21156836,92.05244708,105.3050044,102.6726896,95.47092605,95.80914783,99.79247153,126.4418666
1055,103.0902927,93.26308274,107.3976946,99.77352071,90.41571641,104.3614776,132.6057758,137.5524727
1061,87.84296489,104.6585732,100.6033158,99.6361624,107.6610072,118.1603518,121.8117036,138.8623908
1067,77.29942942,88.86132979,107.6836689,105.5332701,87.14557028,98.87694907,127.1690667,136.6018133
1073,67.63753176,107.9557605,122.617753,103.6015329,97.20430923,95.91841102,129.983176,147.3348995
1079,75.43824792,125.8693748,110.689285,100.479231,92.41874933,111.8077766,137.0116837,135.9999233
1085,63.36361623,98.57544947,108.7656713,98.75562096,103.9364457,108.5014622,131.7358918,133.8640574
1091,72.14811707,91.29900742,111.3476083,136.8572614,101.7192302,107.4518745,128.4941826,128.9133939
1097,67.99263763,94.09807658,100.0968212,100.9280914,97.28620028,100.2840547,127.6076655,138.2080091
1098,77.11815667,141.5423121,105.9646587,98.93765569,100.598907,121.4999371,134.3005781,132.3937643
1105,68.56267118,100.9554269,111.197412,102.2001966,91.84234571,104.8098029,101.572402,130.4373392
1111,75.11955094,91.88657248,105.0989455,134.8813248,95.64207935,97.77259815,130.4633117,147.5833188
1117,98.01792765,89.34644508,98.90266013,101.2379754,101.1675105,102.6455934,137.5586597,139.5039241
1123,91.65148664,94.43288684,105.127115,127.0730969,111.4102643,108.6575482,140.9539058,144.7153687
1129,63.2472949,111.5771008,98.96075439,132.3826668,95.60888171,97.01500118,103.868665,133.2773614
1135,65.96701336,103.0350387,106.9700465,110.6635028,89.72386336,102.8597699,124.2463043,144.8833941
1141,99.10608768,122.0098598,110.8120296,135.6461667,97.49834228,111.3390741,141.2114494,140.2556784
1147,69.95591688,103.1749468,99.55991006,109.8858651,109.3663478,109.0781165,131.3438737,132.8706598
1148,93.39843321,101.8684654,107.6270728,121.8033376,104.8489418,97.57054019,135.8422602,140.224736
1155,67.96069217,95.1265626,102.1421182,106.8050455,95.22262239,104.7425804,129.913799,137.3728482
1161,69.11094499,92.72852969,109.0473075,132.0134012,96.95893216,101.2520005,126.8206,131.9751869
1167,76.68157125,94.15686917,106.3096524,142.4464201,89.18423557,103.3148384,126.2289202,134.7996314
1173,70.23710823,101.7431369,113.9688773,102.7919972,104.8502221,105.802116,134.6583402,136.3384897
1179,70.50998187,107.4551972,108.8716424,105.8457471,99.30940437,98.60047889,131.5307336,138.0088812
1185,73.75476503,99.51413178,107.1126513,91.73778892,108.6480165,98.92742538,142.2737874,130.7303799
1191,66.54681396,88.75239992,106.1113153,127.8379751,101.1474514,97.24443519,137.6054685,137.7928038
1197,89.28624868,100.8249562,106.889698,102.6403141,101.5614569,110.5490425,139.0457324,130.6923063
1198,93.04008746,90.28108478,106.1640023,93.36155343,104.8091006,94.25366545,128.252985,135.9886
1205,69.32802725,90.82854462,97.16706324,88.63525248,87.7371695,106.5630338,138.9859591,135.4291345
1211,71.57908249,97.95014906,101.0758557,98.25743878,93.86484742,112.0651348,138.2501652,149.4052124
1217,73.70647812,101.0176296,97.6072818,103.6214186,104.578048,95.23503017,103.6443369,144.5255589
1223,98.14240265,92.95941043,107.4907906,106.9501359,107.6387918,101.2988944,133.7183149,132.0132837
1229,66.67142773,99.72189999,115.4771781,96.22073174,85.58907127,101.0535237,135.6597013,141.6081996
1235,71.14179993,91.37856936,106.151191,105.6018952,98.9733634,99.71242428,138.5094259,145.3177202
1241,71.13751936,86.92204452,101.9205122,105.3863391,90.22698498,94.97270918,143.3510532,134.576884
1247,95.35235906,96.67454505,111.5782945,106.928336,102.7057004,99.90648162,139.5353856,139.6756332
1248,68.49709845,130.1042778,96.4477098,100.660571,89.05171299,101.3499858,132.6446469,136.9767179
1255,66.3590076,126.8952892,97.97432685,138.335304,94.98453283,92.36090279,129.9154527,142.2550809
1261,88.3628509,99.21004605,106.8362188,111.384167,94.54310584,109.5223197,145.4286599,121.7434917
1267,79.7169981,92.94065356,98.05937362,100.2532489,96.73902225,103.942004,120.3471596,147.8942842
1273,70.52189732,126.6913776,107.9975581,102.7126129,96.69239831,104.4585352,129.7557333,134.0348587
1279,63.65117407,100.3261485,110.272228,97.53050268,94.71112514,98.2421037,127.991925,130.0656196
1285,72.99794722,89.76975393,117.8057488,107.9552571,101.7711855,106.554139,108.9335628,141.2101133
1291,95.41153574,99.74197364,106.7879667,92.79326046,100.8623576,95.20919049,107.4137917,124.6333617
1297,66.07550263,95.59818888,101.9042761,98.80643141,99.1655097,100.2133851,126.0517455,136.9347934
1298,73.03345919,101.2860022,102.6332263,109.5005691,101.5039184,134.3010795,131.2811372,141.8808479
1305,66.5561552,102.029283,95.32833016,97.90652108,95.37087107,103.9113296,142.2242804,129.8903557
1311,91.70194983,92.43082881,109.3241718,93.20120776,95.26588559,112.1696448,119.365133,144.6203709
1317,83.31632614,139.9545064,102.1602695,139.9009075,91.91829729,99.71113896,141.4298618,146.5622667
1323,90.45393181,90.519099,112.2794671,105.1799694,106.7093701,105.0715075,129.6281224,143.5896453
1329,102.300487,87.51957273,96.22335052,120.0236025,106.635267,103.5614283,125.3897628,139.9569089
1335,92.65161872,91.02455056,107.5997781,108.7653227,107.4026134,101.1550361,122.9053471,137.3059655
1341,102.5293269,103.8687861,99.0448159,112.2328906,102.6405323,94.99886346,134.5601232,134.0329611
